project_id,career_title,project_title,project_description,difficulty,technologies,github_url
prj_0108,Junior Database Administrator,Junior Database Administrator Portfolio Project 2,A comprehensive project demonstrating skills required for a Junior Database Administrator.,Advanced,"Remix, OpenID Connect, Sentry",https://github.com/example/project
prj_0109,Senior Frontend Developer,Senior Frontend Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Senior Frontend Developer.,Beginner,"NATS, Katalon, gRPC",https://github.com/example/project
prj_0110,Senior Frontend Developer,Senior Frontend Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Senior Frontend Developer.,Intermediate,"Mercurial, Ruby, Serverless",https://github.com/example/project
prj_0111,Senior Backend Developer,Senior Backend Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Senior Backend Developer.,Beginner,"Spring Boot, jQuery, Notion",https://github.com/example/project
prj_0112,Senior Backend Developer,Senior Backend Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Senior Backend Developer.,Advanced,"Altair, MATLAB, Godot",https://github.com/example/project
prj_0113,Senior Full Stack Developer,Senior Full Stack Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Senior Full Stack Developer.,Beginner,"WebSocket, LightGBM, Statistics",https://github.com/example/project
prj_0114,Senior Full Stack Developer,Senior Full Stack Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Senior Full Stack Developer.,Intermediate,"Cybersecurity, Kotlin, Grafana",https://github.com/example/project
prj_0115,Senior Data Scientist,Senior Data Scientist Portfolio Project 1,A comprehensive project demonstrating skills required for a Senior Data Scientist.,Beginner,"Heroku, Data Warehousing, ETL",https://github.com/example/project
prj_0116,Senior Data Scientist,Senior Data Scientist Portfolio Project 2,A comprehensive project demonstrating skills required for a Senior Data Scientist.,Beginner,"Tableau, Lint-staged, MySQL",https://github.com/example/project
prj_0117,Senior DevOps Engineer,Senior DevOps Engineer Portfolio Project 1,A comprehensive project demonstrating skills required for a Senior DevOps Engineer.,Intermediate,"Figma, Project Management, Jetpack Compose",https://github.com/example/project
prj_0118,Senior DevOps Engineer,Senior DevOps Engineer Portfolio Project 2,A comprehensive project demonstrating skills required for a Senior DevOps Engineer.,Beginner,"Redux, Neural Networks, JavaScript",https://github.com/example/project
prj_0119,Senior Cloud Architect,Senior Cloud Architect Portfolio Project 1,A comprehensive project demonstrating skills required for a Senior Cloud Architect.,Intermediate,"WebSockets, Responsive Design, GitHub Actions",https://github.com/example/project
prj_0120,Senior Cloud Architect,Senior Cloud Architect Portfolio Project 2,A comprehensive project demonstrating skills required for a Senior Cloud Architect.,Intermediate,"MATLAB, Railway, Pillow",https://github.com/example/project
prj_0121,Senior Product Manager,Senior Product Manager Portfolio Project 1,A comprehensive project demonstrating skills required for a Senior Product Manager.,Intermediate,"Apollo, Gensim, Snowflake",https://github.com/example/project
prj_0122,Senior Product Manager,Senior Product Manager Portfolio Project 2,A comprehensive project demonstrating skills required for a Senior Product Manager.,Beginner,"VS Code, Bokeh, SQLite",https://github.com/example/project
prj_0123,Senior UI/UX Designer,Senior UI/UX Designer Portfolio Project 1,A comprehensive project demonstrating skills required for a Senior UI/UX Designer.,Advanced,"Docker Compose, Figma, Statistics",https://github.com/example/project
prj_0124,Senior UI/UX Designer,Senior UI/UX Designer Portfolio Project 2,A comprehensive project demonstrating skills required for a Senior UI/UX Designer.,Beginner,"Trello, Xcode, Azure Kubernetes Service",https://github.com/example/project
prj_0125,Senior Mobile Developer,Senior Mobile Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Senior Mobile Developer.,Advanced,"SwiftUI, Go, iOS Development",https://github.com/example/project
prj_0126,Senior Mobile Developer,Senior Mobile Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Senior Mobile Developer.,Beginner,"tRPC, PowerShell, MobX",https://github.com/example/project
prj_0127,Senior QA Engineer,Senior QA Engineer Portfolio Project 1,A comprehensive project demonstrating skills required for a Senior QA Engineer.,Beginner,"C#, Svelte, GCP",https://github.com/example/project
prj_0128,Senior QA Engineer,Senior QA Engineer Portfolio Project 2,A comprehensive project demonstrating skills required for a Senior QA Engineer.,Advanced,"MeiliSearch, Security Auditing, Twilio API",https://github.com/example/project
prj_0129,Senior Security Analyst,Senior Security Analyst Portfolio Project 1,A comprehensive project demonstrating skills required for a Senior Security Analyst.,Advanced,"Emacs, SQLite, Message Queues",https://github.com/example/project
prj_0130,Senior Security Analyst,Senior Security Analyst Portfolio Project 2,A comprehensive project demonstrating skills required for a Senior Security Analyst.,Intermediate,"IoT, Gensim, Firebase",https://github.com/example/project
prj_0131,Senior Database Administrator,Senior Database Administrator Portfolio Project 1,A comprehensive project demonstrating skills required for a Senior Database Administrator.,Intermediate,"Nginx, TypeScript, Express",https://github.com/example/project
prj_0132,Senior Database Administrator,Senior Database Administrator Portfolio Project 2,A comprehensive project demonstrating skills required for a Senior Database Administrator.,Advanced,"Kafka, Azure, WebSocket",https://github.com/example/project
prj_0133,Lead Frontend Developer,Lead Frontend Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Lead Frontend Developer.,Beginner,"Angular, REST API, Snowflake",https://github.com/example/project
prj_0134,Lead Frontend Developer,Lead Frontend Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Lead Frontend Developer.,Beginner,"Esbuild, Recoil, Slack",https://github.com/example/project
prj_0135,Lead Backend Developer,Lead Backend Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Lead Backend Developer.,Advanced,"KNIME, Prophet, Domain-Driven Design",https://github.com/example/project
prj_0136,Lead Backend Developer,Lead Backend Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Lead Backend Developer.,Beginner,"Highcharts, AWS IAM, Probability",https://github.com/example/project
prj_0137,Lead Full Stack Developer,Lead Full Stack Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Lead Full Stack Developer.,Beginner,"Xcode, Parcel, 3ds Max",https://github.com/example/project
prj_0138,Lead Full Stack Developer,Lead Full Stack Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Lead Full Stack Developer.,Intermediate,"Streamlit, Spark, Redux Toolkit",https://github.com/example/project
prj_0139,Lead Data Scientist,Lead Data Scientist Portfolio Project 1,A comprehensive project demonstrating skills required for a Lead Data Scientist.,Advanced,"SQL, IoT, Helm",https://github.com/example/project
prj_0140,Lead Data Scientist,Lead Data Scientist Portfolio Project 2,A comprehensive project demonstrating skills required for a Lead Data Scientist.,Beginner,"RxJS, Windows, RabbitMQ",https://github.com/example/project
prj_0141,Lead DevOps Engineer,Lead DevOps Engineer Portfolio Project 1,A comprehensive project demonstrating skills required for a Lead DevOps Engineer.,Advanced,"SVN, Postman, NumPy",https://github.com/example/project
prj_0142,Lead DevOps Engineer,Lead DevOps Engineer Portfolio Project 2,A comprehensive project demonstrating skills required for a Lead DevOps Engineer.,Advanced,"Rust, Excel, Nginx",https://github.com/example/project
prj_0143,Lead Cloud Architect,Lead Cloud Architect Portfolio Project 1,A comprehensive project demonstrating skills required for a Lead Cloud Architect.,Beginner,"Bokeh, Swagger, Project Management",https://github.com/example/project
prj_0144,Lead Cloud Architect,Lead Cloud Architect Portfolio Project 2,A comprehensive project demonstrating skills required for a Lead Cloud Architect.,Advanced,"Zsh, Husky, Ansible",https://github.com/example/project
prj_0145,Lead Product Manager,Lead Product Manager Portfolio Project 1,A comprehensive project demonstrating skills required for a Lead Product Manager.,Intermediate,"Message Queues, Mailchimp API, Project Management",https://github.com/example/project
prj_0146,Lead Product Manager,Lead Product Manager Portfolio Project 2,A comprehensive project demonstrating skills required for a Lead Product Manager.,Beginner,"DynamoDB, Framer, Time Management",https://github.com/example/project
prj_0147,Lead UI/UX Designer,Lead UI/UX Designer Portfolio Project 1,A comprehensive project demonstrating skills required for a Lead UI/UX Designer.,Beginner,"Transformers, Visual Studio, Altair",https://github.com/example/project
prj_0148,Lead UI/UX Designer,Lead UI/UX Designer Portfolio Project 2,A comprehensive project demonstrating skills required for a Lead UI/UX Designer.,Advanced,"SVN, Azure VMs, Hugging Face",https://github.com/example/project
prj_0149,Lead Mobile Developer,Lead Mobile Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Lead Mobile Developer.,Beginner,"Hugging Face, Critical Thinking, Mocha",https://github.com/example/project
prj_0150,Lead Mobile Developer,Lead Mobile Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Lead Mobile Developer.,Advanced,"Data Modeling, Matplotlib, Remix",https://github.com/example/project
prj_0151,Lead QA Engineer,Lead QA Engineer Portfolio Project 1,A comprehensive project demonstrating skills required for a Lead QA Engineer.,Advanced,"SVN, Hugo, Django",https://github.com/example/project
prj_0152,Lead QA Engineer,Lead QA Engineer Portfolio Project 2,A comprehensive project demonstrating skills required for a Lead QA Engineer.,Beginner,"Cypress, Snowflake, Amplitude",https://github.com/example/project
