skill_name,category,difficulty
ETL,Data Engineering,Intermediate
Data Warehousing,Data Engineering,Intermediate
dbt,Data Engineering,Intermediate
Snowflake,Data Engineering,Intermediate
Communication,Soft Skills,Beginner
Problem Solving,Soft Skills,Beginner
Critical Thinking,Soft Skills,Beginner
Leadership,Soft Skills,Intermediate
Project Management,Soft Skills,Intermediate
Technical Writing,Soft Skills,Intermediate
Presentation Skills,Soft Skills,Beginner
Team Collaboration,Soft Skills,Beginner
Time Management,Soft Skills,Beginner
MQTT,IoT,Intermediate
Markdown,Tools & Practices,Beginner
Nmap,Security,Intermediate
Wireshark,Security,Intermediate
Prometheus,Cloud & DevOps,Intermediate
Grafana,Cloud & DevOps,Intermediate
Selenium,Tools & Practices,Intermediate
Streamlit,Data Science,Beginner
API Design,Architecture,Intermediate
Data Modeling,Database,Intermediate
WebRTC,Mobile,Beginner
Socket.io,Backend,Advanced
Apollo,Backend,Advanced
Prisma,Tools,Intermediate
TypeORM,Design,Intermediate
Sequelize,Frontend,Beginner
Mongoose,Design,Beginner
Redux Toolkit,Database,Advanced
Zustand,Tools,Beginner
Jotai,Design,Intermediate
Recoil,DevOps,Beginner
MobX,Backend,Advanced
RxJS,Database,Beginner
Gatsby,Frontend,Advanced
Nuxt.js,Database,Intermediate
SvelteKit,Database,Beginner
Remix,Tools,Advanced
Astro,Cloud,Intermediate
Eleventy,Frontend,Beginner
Jekyll,Tools,Intermediate
Hugo,Frontend,Intermediate
Vite,DevOps,Beginner
Rollup,Cloud,Beginner
Parcel,Mobile,Advanced
Esbuild,Backend,Intermediate
Babel,Backend,Beginner
ESLint,Database,Advanced
Prettier,Data Science,Beginner
Husky,Cloud,Intermediate
Lint-staged,DevOps,Beginner
Jest,Mobile,Intermediate
Mocha,Frontend,Advanced
Chai,Tools,Beginner
Cypress,Tools,Advanced
Playwright,Backend,Beginner
Puppeteer,Design,Intermediate
Appium,Mobile,Intermediate
Detox,Data Science,Beginner
Katalon,DevOps,Beginner
Insomnia,Design,Intermediate
Swagger,Data Science,Intermediate
OpenAPI,Frontend,Intermediate
GraphQL API,Frontend,Intermediate
REST API,Design,Advanced
gRPC,Database,Advanced
tRPC,Design,Beginner
WebSockets,DevOps,Intermediate
WebHooks,Frontend,Advanced
OAuth,Database,Intermediate
JWT,Backend,Beginner
SAML,Tools,Beginner
OpenID Connect,Data Science,Beginner
Auth0,Tools,Advanced
Firebase Auth,Backend,Beginner
AWS Cognito,Cloud,Beginner
Supabase Auth,Design,Beginner
Clerk,Design,Advanced
NextAuth,Data Science,Beginner
Stripe API,Data Science,Advanced
PayPal API,Database,Advanced
Braintree,Frontend,Intermediate
Twilio API,Tools,Beginner
SendGrid API,Data Science,Beginner
Mailchimp API,Backend,Beginner
Google Maps API,Tools,Advanced
Mapbox API,DevOps,Advanced
Algolia,Mobile,Intermediate
MeiliSearch,Cloud,Advanced
Memcached,Backend,Beginner
RabbitMQ,Tools,Beginner
ActiveMQ,Tools,Advanced
ZeroMQ,Cloud,Intermediate
NATS,Tools,Beginner
AWS SQS,Design,Intermediate
AWS SNS,Design,Intermediate
AWS Lambda,Database,Beginner
AWS S3,Database,Beginner
AWS EC2,Design,Intermediate
AWS RDS,Backend,Beginner
AWS DynamoDB,Tools,Intermediate
AWS CloudFront,DevOps,Beginner
AWS Route 53,Frontend,Advanced
AWS IAM,Frontend,Advanced
AWS ECS,Tools,Advanced
AWS EKS,Cloud,Beginner
GCP Compute Engine,Backend,Intermediate
GCP Cloud Storage,Cloud,Intermediate
GCP Cloud SQL,Cloud,Advanced
GCP BigQuery,Backend,Advanced
GCP Kubernetes Engine,Database,Advanced
Azure VMs,Data Science,Advanced
Azure Blob Storage,DevOps,Intermediate
Azure SQL Database,Tools,Beginner
Azure Functions,Database,Beginner
Azure Kubernetes Service,Mobile,Intermediate
DigitalOcean Droplets,Frontend,Advanced
DigitalOcean Spaces,DevOps,Advanced
Heroku,Frontend,Intermediate
Vercel,Cloud,Intermediate
Netlify,Database,Beginner
Render,Mobile,Intermediate
Railway,DevOps,Beginner
Fly.io,Cloud,Beginner
Docker Compose,Cloud,Advanced
Helm,Database,Advanced
Chef,DevOps,Intermediate
Puppet,DevOps,Beginner
Datadog,Design,Beginner
New Relic,Database,Intermediate
Sentry,Tools,Advanced
LogRocket,Backend,Advanced
Mixpanel,Design,Advanced
Amplitude,Cloud,Intermediate
Google Analytics,Frontend,Beginner
Segment,Data Science,Beginner
InVision,Tools,Beginner
Zeplin,Cloud,Advanced
Framer,Database,Advanced
Miro,Mobile,Intermediate
Notion,Tools,Intermediate
Trello,Design,Advanced
Asana,Data Science,Intermediate
Linear,Design,Advanced
Slack,Database,Advanced
Discord,Data Science,Advanced
Zoom,DevOps,Advanced
Microsoft Teams,Database,Advanced
Bitbucket,Frontend,Advanced
SVN,Database,Advanced
Mercurial,Tools,Intermediate
Unix,Cloud,Advanced
Windows,Tools,Intermediate
macOS,Data Science,Advanced
Bash,Data Science,Beginner
Zsh,DevOps,Intermediate
PowerShell,Mobile,Intermediate
Vim,Database,Beginner
Emacs,Database,Advanced
IntelliJ IDEA,Tools,Beginner
WebStorm,DevOps,Intermediate
PyCharm,DevOps,Intermediate
Eclipse,Database,Beginner
NetBeans,Database,Advanced
Visual Studio,Tools,Advanced
Xcode,Tools,Beginner
Android Studio,Data Science,Advanced
Unity,Data Science,Advanced
Unreal Engine,Backend,Advanced
Godot,Data Science,Advanced
Blender,Cloud,Advanced
Maya,Tools,Beginner
3ds Max,Cloud,Intermediate
ZBrush,Database,Beginner
Substance Painter,Frontend,Beginner
AutoCAD,Frontend,Intermediate
SolidWorks,DevOps,Intermediate
Revit,Tools,Beginner
SketchUp,Frontend,Intermediate
Fusion 360,Backend,Beginner
MATLAB,Frontend,Advanced
SAS,Database,Beginner
SPSS,Backend,Beginner
Stata,Mobile,Beginner
Looker,Data Science,Beginner
QlikView,Cloud,Beginner
MicroStrategy,DevOps,Beginner
Alteryx,Tools,Advanced
KNIME,Data Science,Advanced
RapidMiner,Design,Advanced
Orange,Design,Beginner
Weka,Data Science,Beginner
XGBoost,Tools,Advanced
LightGBM,Cloud,Beginner
CatBoost,Backend,Beginner
Prophet,Design,Intermediate
Statsmodels,Data Science,Advanced
NLTK,Tools,Beginner
Spacy,Tools,Intermediate
Gensim,Design,Advanced
Transformers,Data Science,Beginner
Pillow,Database,Intermediate
Plotly,DevOps,Intermediate
Bokeh,DevOps,Beginner
Altair,Tools,Beginner
D3.js,Design,Advanced
Chart.js,Frontend,Beginner
Highcharts,Backend,Beginner
Prompt Engineering,AI,Intermediate
Large Language Models,AI,Advanced
RAG,AI,Advanced
Video Editing,Creator,Intermediate
Thumbnail Design,Creator,Beginner
Storytelling,Soft Skills,Intermediate
Bubble,No-Code,Intermediate
Webflow,No-Code,Intermediate
Zapier,Automation,Beginner
Financial Modeling,Finance,Advanced
Smart Contracts,Web3,Advanced
