passion_id,passion_name,category,career_title,career_description,demand_level,growth_rate,key_skills,roadmap_steps,resources
p11,Cooking,Lifestyle,Food Blogger / Content Creator,"Combine cooking with content creation — build an audience through recipes, food reviews, and culinary content.",Very High,35%,"Cooking, Food Photography, Video Production, Social Media Marketing, SEO, Content Writing, YouTube","Step 1: Perfect Your Recipes (3 weeks) — Develop 20+ signature recipes with clear instructions|Step 2: Learn Food Photography (3 weeks) — Styling, lighting, composition for food|Step 3: Start a Blog (2 weeks) — WordPress setup, SEO basics, recipe formatting|Step 4: Learn Video Production (4 weeks) — Recipe videos, editing, thumbnail design|Step 5: Build Social Presence (4 weeks) — Instagram, YouTube, Pinterest strategy|Step 6: Monetize (ongoing) — Brand partnerships, affiliate marketing, cookbook","Food Photography School|YouTube Creator Academy|WordPress for Food Bloggers|Social Media Marketing Courses"
p12,Fitness,Lifestyle,Certified Fitness Trainer,"Transform your fitness passion into a career helping others achieve their health goals.",High,20%,"Exercise Science, Nutrition, Anatomy, Client Assessment, Program Design, Communication, Motivation","Step 1: Learn Exercise Science (4 weeks) — Anatomy, physiology, biomechanics|Step 2: Study Nutrition Basics (3 weeks) — Macronutrients, meal planning, dietary guidelines|Step 3: Get Certified (6 weeks) — ACE, ISSA, or ACSM certification|Step 4: Master Program Design (3 weeks) — Periodization, progressive overload, injury prevention|Step 5: Practice Coaching (4 weeks) — Train friends/family, develop communication skills|Step 6: Build Client Base (ongoing) — Gym employment, online coaching, social media presence","ACE Personal Trainer Certification|ISSA Fitness Courses|Coursera Exercise Science|Jeff Nippard YouTube Channel"
p13,Fitness,Lifestyle,Sports Physiotherapist,"Combine fitness knowledge with healthcare to help athletes recover and perform at their best.",High,18%,"Anatomy, Physiology, Rehabilitation, Sports Medicine, Manual Therapy, Exercise Prescription","Step 1: Study Anatomy & Physiology (6 weeks) — Musculoskeletal system, movement patterns|Step 2: Pursue Physiotherapy Education (formal) — BPT/MPT degree or equivalent|Step 3: Learn Sports-Specific Rehab (4 weeks) — Common sports injuries, recovery protocols|Step 4: Study Manual Therapy (4 weeks) — Massage, mobilization, taping techniques|Step 5: Clinical Practice (8 weeks) — Hospital or clinic internship|Step 6: Specialize & Practice (ongoing) — Work with sports teams, open a clinic","APTA Sports Physiotherapy Resources|Coursera Anatomy Courses|Physiopedia.com|Sports Medicine Today Journal"
p14,Travel,Lifestyle,Travel Blogger / Vlogger,"Turn your wanderlust into income by creating travel content, guides, and experiences for global audiences.",High,28%,"Travel Planning, Content Writing, Photography, Video Production, Social Media, SEO, Storytelling","Step 1: Choose Your Travel Niche (2 weeks) — Budget travel, luxury, adventure, cultural|Step 2: Learn Content Creation (4 weeks) — Photography, video, writing for travel|Step 3: Build Your Platform (3 weeks) — Blog/website, YouTube channel, Instagram|Step 4: Create Travel Guides (4 weeks) — Detailed destination guides, itineraries, tips|Step 5: Master SEO & Social (3 weeks) — Search optimization, hashtag strategy, engagement|Step 6: Monetize (ongoing) — Tourism board partnerships, affiliate links, sponsorships","Nomadic Matt Travel Blog Course|YouTube Creator Academy|Lonely Planet Writing Guidelines|Travel Photography MasterClass"
p15,Travel,Lifestyle,Tour Operator / Travel Consultant,"Use your travel expertise to plan memorable journeys for clients and build a tourism business.",Medium,12%,"Travel Planning, Customer Service, Geography, Budgeting, Communication, Negotiation, Marketing","Step 1: Study Tourism & Hospitality (4 weeks) — Industry overview, types of tourism|Step 2: Learn Destination Knowledge (4 weeks) — Popular routes, visa rules, local customs|Step 3: Get Certified (3 weeks) — IATA certification, tourism board courses|Step 4: Learn Booking Systems (2 weeks) — GDS systems, hotel/airline booking platforms|Step 5: Build Network (3 weeks) — Connect with hotels, transport, local guides|Step 6: Start Your Business (ongoing) — Register, market, build client relationships","IATA Foundation in Travel & Tourism|Coursera Tourism Management|India Tourism Board Courses|TripAdvisor Academy"
p16,Teaching,Social Impact,Online Educator / Course Creator,"Share your knowledge by creating courses, tutoring, and building an educational brand online.",Very High,35%,"Subject Expertise, Curriculum Design, Presentation Skills, Video Production, LMS Platforms, Communication","Step 1: Identify Your Teaching Niche (2 weeks) — Subject expertise, target audience|Step 2: Learn Curriculum Design (3 weeks) — Learning objectives, course structure, assessments|Step 3: Master Presentation Skills (2 weeks) — Engaging delivery, slide design, storytelling|Step 4: Learn Video Production (3 weeks) — Screen recording, editing, audio quality|Step 5: Choose a Platform (2 weeks) — Udemy, Coursera, YouTube, Teachable, Unacademy|Step 6: Create Your First Course (4 weeks) — Record, edit, publish, gather reviews|Step 7: Scale & Monetize (ongoing) — Email marketing, community building, more courses","Udemy Instructor Course|Coursera Teaching Online|Canva for Educators|OBS Studio Tutorial"
p17,Gardening,Nature,Agricultural Entrepreneur / Urban Farmer,"Turn your green thumb into a sustainable farming or agri-tech business venture.",Medium,20%,"Plant Science, Soil Management, Organic Farming, Hydroponics, Business Planning, Marketing","Step 1: Study Plant Science Basics (3 weeks) — Botany, soil types, climate considerations|Step 2: Learn Farming Techniques (4 weeks) — Organic methods, permaculture, composting|Step 3: Explore Modern Agriculture (3 weeks) — Hydroponics, vertical farming, IoT in agriculture|Step 4: Business Planning (3 weeks) — Market research, costs, revenue models|Step 5: Start Small Scale (4 weeks) — Terrace garden, community plot, or small farm|Step 6: Scale Up (ongoing) — Expand production, direct-to-consumer, farmer markets","IARI Online Courses|Coursera Sustainable Agriculture|Urban Farming Guys YouTube|NABARD Farming Resources"
p18,Animals,Nature,Veterinary Professional / Animal Welfare,"Channel your love for animals into a career in veterinary science, animal care, or wildlife conservation.",Medium,15%,"Animal Behavior, Veterinary Science, First Aid, Nutrition, Communication, Compassion","Step 1: Study Animal Biology (4 weeks) — Anatomy, behavior, common species needs|Step 2: Learn Animal First Aid (2 weeks) — Emergency care, basic medical procedures|Step 3: Pursue Formal Education (formal) — BVSc degree or animal husbandry course|Step 4: Volunteer at Shelters (4 weeks) — Hands-on experience with animal care|Step 5: Specialize (4 weeks) — Pet care, livestock, wildlife, marine biology|Step 6: Professional Practice (ongoing) — Clinic work, NGO, wildlife sanctuaries","ICAR Veterinary Courses|Coursera Animal Behavior|PETA Resources|Wildlife Institute of India"
p19,Coding,Technology,Software Developer / Engineer,"Transform your coding hobby into a professional software development career building real products.",Very High,25%,"Python, JavaScript, Data Structures, Algorithms, Git, Problem Solving, System Design, Databases","Step 1: Master a Programming Language (4 weeks) — Python or JavaScript fundamentals|Step 2: Learn Data Structures & Algorithms (6 weeks) — Arrays, trees, graphs, sorting, searching|Step 3: Build Projects (4 weeks) — Web apps, APIs, command-line tools|Step 4: Learn Git & Collaboration (2 weeks) — Version control, pull requests, code reviews|Step 5: Study System Design (3 weeks) — Architecture, scalability, databases|Step 6: Practice Interview Prep (4 weeks) — LeetCode, mock interviews, behavioral prep|Step 7: Apply & Network (ongoing) — GitHub portfolio, LinkedIn, tech communities","freeCodeCamp|LeetCode|The Odin Project|CS50 by Harvard (Free)"
p20,Coding,Technology,Open Source Contributor / Developer Advocate,"Turn coding passion into community impact — contribute to open source and help developers worldwide.",High,30%,"Programming, Git, Technical Writing, Public Speaking, Community Building, Documentation","Step 1: Choose Your Tech Stack (2 weeks) — Language and framework to specialize in|Step 2: Contribute to Open Source (4 weeks) — Find beginner-friendly repos, submit PRs|Step 3: Build Developer Content (3 weeks) — Blog posts, tutorials, code walkthroughs|Step 4: Learn Public Speaking (3 weeks) — Meetup talks, conference proposals|Step 5: Grow Community (3 weeks) — Twitter/X, Discord, dev forums, YouTube|Step 6: Professional Advocacy (ongoing) — Apply for DevRel roles, sponsorships, conferences","First Timers Only (Open Source)|GitHub Guides|Dev.to Community|Write the Docs"
p21,Dance,Creative Arts,Professional Dancer / Choreographer,"Transform your dance passion into a performing arts career — stage shows, films, music videos, and teaching.",Medium,15%,"Dance Techniques, Choreography, Stage Performance, Flexibility, Rhythm, Music Understanding","Step 1: Train in Dance Fundamentals (6 weeks) — Technique, flexibility, body control|Step 2: Learn Multiple Styles (6 weeks) — Contemporary, hip-hop, classical, Bollywood|Step 3: Study Choreography (4 weeks) — Creating routines, musicality, formations|Step 4: Build Stage Presence (3 weeks) — Performance skills, audience engagement|Step 5: Create Showreel (3 weeks) — Record performances, compile dance portfolio|Step 6: Perform & Teach (ongoing) — Auditions, dance classes, social media showcase","STEEZY Studio Online|MasterClass Dance Courses|YouTube Dance Tutorials|India Dance Congress"
p22,Public Speaking,Communication,Motivational Speaker / Corporate Trainer,"Use your speaking talent to inspire audiences, train professionals, and build a personal brand.",High,20%,"Public Speaking, Storytelling, Persuasion, Presentation Design, Body Language, Communication","Step 1: Master Speaking Fundamentals (3 weeks) — Voice modulation, pacing, structure|Step 2: Study Storytelling (3 weeks) — Narrative arcs, emotional hooks, case studies|Step 3: Learn Presentation Design (2 weeks) — Slide design, visual aids, handouts|Step 4: Practice Speaking (4 weeks) — Toastmasters, local events, webinars|Step 5: Build Personal Brand (3 weeks) — LinkedIn, YouTube, speaking reel|Step 6: Professional Speaking (ongoing) — Corporate workshops, conferences, TEDx applications","Toastmasters International|TED Talks|Coursera Public Speaking Courses|Dale Carnegie Training"
p23,Fashion,Creative Arts,Fashion Designer / Stylist,"Turn your fashion sense into a career designing clothes, styling clients, and building fashion brands.",Medium,15%,"Fashion Design, Sketching, Textile Knowledge, Color Theory, Trend Analysis, Sewing, Branding","Step 1: Study Fashion Fundamentals (4 weeks) — Design principles, fashion history, trends|Step 2: Learn Sketching & Illustration (3 weeks) — Fashion figure drawing, digital illustration|Step 3: Understand Textiles (3 weeks) — Fabric types, draping, stitching basics|Step 4: Design Collections (4 weeks) — Create 5-10 original designs with mood boards|Step 5: Learn Fashion Business (3 weeks) — Branding, pricing, manufacturing, marketing|Step 6: Launch & Showcase (ongoing) — Online store, fashion shows, social media","NIFT Online Resources|Coursera Fashion Design|Vogue Business|Fashion Revolution Courses"
p24,Astronomy,Science,Space Scientist / Astrophysicist,"Transform your fascination with the cosmos into a career in space research, data analysis, or science communication.",Medium,18%,"Physics, Mathematics, Data Analysis, Python, Research, Scientific Writing, Astronomy","Step 1: Strengthen Physics & Math (6 weeks) — Mechanics, optics, calculus, linear algebra|Step 2: Study Astronomy Basics (4 weeks) — Celestial mechanics, stellar evolution, cosmology|Step 3: Learn Data Analysis (4 weeks) — Python, AstroPy, data visualization|Step 4: Pursue Formal Education (formal) — BSc/MSc Physics or Astrophysics|Step 5: Research Experience (8 weeks) — ISRO internships, university research labs|Step 6: Academic or Industry Career (ongoing) — PhD, ISRO, planetarium, science communication","ISRO Online Courses|Coursera Astronomy Specialization|NASA OpenSource|Indian Astronomical Society"
p25,Environment,Nature,Environmental Scientist / Sustainability Consultant,"Channel your passion for the planet into fighting climate change and building sustainable solutions.",High,28%,"Environmental Science, Data Analysis, Policy Research, Sustainability, Communication, GIS","Step 1: Study Environmental Science (4 weeks) — Ecology, climate science, pollution|Step 2: Learn Sustainability Frameworks (3 weeks) — SDGs, ESG, circular economy|Step 3: Data Analysis Skills (3 weeks) — GIS mapping, environmental data, Python|Step 4: Policy & Regulation (3 weeks) — Environmental laws, compliance, reporting|Step 5: Field Experience (4 weeks) — NGO internship, field surveys, impact assessment|Step 6: Consulting or Research (ongoing) — Corporate sustainability, government agencies, NGOs","Coursera Sustainability Certificate|UNEP Online Courses|Ministry of Environment India|GreenBiz Resources"
p26,Crafts & DIY,Creative Arts,Handmade Business Owner / Artisan,"Turn your crafting skills into a thriving small business selling handmade products and custom creations.",Medium,20%,"Craftsmanship, Product Design, Photography, E-commerce, Marketing, Pricing, Packaging","Step 1: Perfect Your Craft (4 weeks) — Refine techniques, develop unique style|Step 2: Product Development (3 weeks) — Design product line, quality standards|Step 3: Learn Product Photography (2 weeks) — Staging, lighting, editing for e-commerce|Step 4: Set Up Online Store (2 weeks) — Etsy, Amazon Handmade, Instagram Shop|Step 5: Pricing & Business (2 weeks) — Cost calculation, margins, shipping|Step 6: Market & Scale (ongoing) — Social media, craft fairs, custom orders","Etsy Seller Handbook|Skillshare Craft Business|Instagram Marketing for Makers|Small Business India Portal"
p27,Reading,Intellectual,Book Editor / Literary Agent,"Transform your love of reading into a publishing career — edit manuscripts, discover authors, and shape literature.",Medium,10%,"Editing, Grammar, Literary Analysis, Communication, Manuscript Evaluation, Publishing Industry","Step 1: Study Publishing Industry (3 weeks) — How books are published, roles, processes|Step 2: Learn Professional Editing (4 weeks) — Developmental, copy, and proofreading skills|Step 3: Read Across Genres (ongoing) — Build breadth of literary knowledge|Step 4: Practice Editing (4 weeks) — Edit sample manuscripts, join critique groups|Step 5: Build Industry Network (3 weeks) — Publishing events, LinkedIn, literary magazines|Step 6: Apply or Freelance (ongoing) — Publishing houses, literary agencies, freelance editing","EFA (Editorial Freelancers Association)|Coursera Publishing Course|Publishers Weekly|Indian Publishing Industry Resources"
p28,Psychology,Social Impact,Counselor / Psychologist,"Use your interest in human behavior to help people through counseling, therapy, and mental health support.",Very High,25%,"Psychology, Active Listening, Empathy, Communication, CBT, Assessment, Research","Step 1: Study Psychology Fundamentals (4 weeks) — Behavioral, cognitive, developmental psychology|Step 2: Pursue Formal Education (formal) — BA/MA Psychology from recognized university|Step 3: Learn Counseling Techniques (4 weeks) — CBT, person-centered therapy, active listening|Step 4: Supervised Practice (8 weeks) — Clinical internship, supervised counseling sessions|Step 5: Get Licensed/Certified (varies) — RCI registration, state licensing|Step 6: Practice & Specialize (ongoing) — Private practice, hospital, school counseling","RCI India|Coursera Psychology Courses|APA Resources|iCall (TISS Mumbai)"
p29,Volunteering,Social Impact,Social Entrepreneur / NGO Professional,"Transform your desire to help others into building organizations that create lasting social change.",High,22%,"Leadership, Project Management, Fundraising, Communication, Community Building, Impact Measurement","Step 1: Identify a Social Problem (2 weeks) — Research, community needs assessment|Step 2: Study Social Enterprise Models (3 weeks) — Non-profit, hybrid, social business|Step 3: Learn Project Management (3 weeks) — Planning, execution, monitoring frameworks|Step 4: Fundraising & Finance (3 weeks) — Grant writing, crowdfunding, CSR partnerships|Step 5: Build a Team (3 weeks) — Volunteer management, hiring, culture building|Step 6: Launch & Scale (ongoing) — Pilot program, measure impact, expand","Coursera Social Entrepreneurship|Ashoka Foundation|UnLtd India|Social Enterprise India Resources"
p30,Video Editing,Technology,Video Editor / Content Producer,"Turn your editing skills into a professional career in media production, YouTube, advertising, and film.",Very High,30%,"Adobe Premiere Pro, DaVinci Resolve, After Effects, Storytelling, Color Grading, Sound Design, Motion Graphics","Step 1: Master an Editing Tool (4 weeks) — Premiere Pro or DaVinci Resolve fundamentals|Step 2: Learn Storytelling Through Edits (3 weeks) — Pacing, narrative structure, transitions|Step 3: Color Grading (3 weeks) — Color wheels, LUTs, mood-based grading|Step 4: Sound Design (2 weeks) — Audio mixing, SFX, music selection|Step 5: Motion Graphics (3 weeks) — After Effects basics, titles, lower thirds|Step 6: Build Portfolio (4 weeks) — Edit diverse projects, create showreel|Step 7: Professional Work (ongoing) — YouTube channels, agencies, freelance platforms","Premiere Pro Essential Training|DaVinci Resolve Free Training|Film Riot YouTube|Motion Design School"
p31,Content Creation,Creative Arts,YouTuber / Video Creator,"Build your own channel, create entertaining or educational videos, and monetize your content.",Very High,40%,"Video Editing, Storytelling, SEO, Audience Engagement, Scriptwriting, YouTube Analytics, Thumbnail Design","Step 1: Choose Your Niche (2 weeks) — Decide on gaming, tech, lifestyle, or education|Step 2: Setup Gear & Software (2 weeks) — Camera, mic, lighting, OBS, Premiere Pro|Step 3: Script & Storyboard (3 weeks) — Write engaging hooks, structure videos|Step 4: Record & Edit (4 weeks) — Practice on-camera presence, learn pacing|Step 5: Master SEO & Thumbnails (3 weeks) — Keywords, click-through rates, CTR optimization|Step 6: Consistency & Growth (ongoing) — Upload weekly, engage with comments, analyze retention","YouTube Creator Academy|Think Media YouTube Channel|Skillshare Video Production"
p32,Gaming,Technology,Pro Gamer / Streamer,"Turn your gaming skills into a career by competing in esports or streaming on Twitch/YouTube.",High,35%,"Gaming Strategy, Commentary, Community Building, OBS Studio, Networking, Entertainment","Step 1: Pick a Main Game (4 weeks) — Focus on a popular competitive or entertaining game|Step 2: Stream Setup (2 weeks) — PC optimization, OBS setup, overlays, alerts|Step 3: Develop Persona (3 weeks) — Decide your stream vibe, practice commentary|Step 4: Build a Schedule (1 week) — Stream consistently on set days|Step 5: Cross-Platform Growth (4 weeks) — Post clips to TikTok, YouTube Shorts, Reels|Step 6: Network & Monetize (ongoing) — Collaborate with streamers, get sponsorships, join orgs","Twitch Creator Camp|Harris Heller Alpha Gaming|Esports Training Platforms"
p33,Social Media,Lifestyle,Instagram Influencer / Creator,"Build a massive following by sharing lifestyle, fashion, or niche content and partnering with brands.",Very High,45%,"Personal Branding, Photography, Short-Form Video, Social Media Marketing, Brand Negotiation, Networking","Step 1: Define Personal Brand (2 weeks) — Niche, aesthetics, unique value proposition|Step 2: Content Strategy (3 weeks) — Plan Reels, Stories, Carousels|Step 3: Learn Mobile Editing (2 weeks) — CapCut, Lightroom Mobile, trending audio|Step 4: Post & Analyze (4 weeks) — Post daily, study Instagram Insights, adapt|Step 5: Build Community (ongoing) — Reply to DMs, host Q&As, go live|Step 6: Brand Deals (ongoing) — Create a media kit, pitch to brands, monetize","Instagram Creators Portal|Social Media Examiner|Skillshare Personal Branding"
